id,name,size,city,employee_count
5508,Morrison Foerster,5,San Francisco,2671
5553,ADM,7,Chicago,9109
5573,The Standard,5,Portland,2835
5574,Plexus Corp.,7,Neenah,25584
5578,RBC Wealth Management,7,Toronto,4184
5585,BCD Travel,7,Utrecht,8283
5618,Coach,7,New York,7682
5619,Herbalife,7,Los Angeles,13954
5630,Memorial Sloan Kettering Cancer Center,7,New York,10636
5652,Egon Zehnder,5,Zurich,13650
5656,Cleveland Clinic,7,Cleveland,17790
5666,Dominion Energy,7,Richmond,3084
5667,LyondellBasell,7,Houston,42037
5670,Kohler Co.,7,Kohler,26665
5674,Cooper University Health Care,6,Camden,13936
5714,University of Denver,5,Denver,13738
5724,Ball Corporation,7,Westminster,5560
5725,Ball Aerospace,5,Broomfield,5489
5742,ICF,6,Reston,8323
5749,Kohl's,7,Menomonee Falls,4558
5750,"CPS, Inc.",2,Westchester,9967
5755,Penske Logistics,7,Reading,46626
5756,Penske Truck Leasing,7,Reading,435
5770,Viasat,6,Carlsbad,9203
5772,Turner Construction Company,7,New York,8744
5775,Univision,5,Miami,6190
5790,Louis Vuitton,7,Paris,15145
5805,Kerry,7,Naas,5516
5815,Moss Adams,5,Seattle,23187
5816,RTI International,6,Research Triangle Park,14086
5826,Tommy Hilfiger,7,Amsterdam,5236
5837,Omron Automation,5,Hoffman Estates,7179
5840,Arcadis,7,Amsterdam,10238
5843,Johns Manville,6,Denver,2076
5845,TSI Incorporated,4,Shoreview,32530
5848,Tennessee Valley Authority,7,Knoxville,2744
5870,IFF,7,New York,1434
5884,MKS Instruments,7,Andover,10036
5887,Motion Recruitment,5,Boston,13019
5911,Astellas Pharma US,5,Northbrook,3103
5913,National Grid,7,London,1104
5926,University of Nebraska-Lincoln,6,Lincoln,5842
5927,Flowserve Corporation,7,Irving,14565
5955,Boston Public Schools,6,Boston,9804
5968,Armstrong World Industries,5,Lancaster,13266
5970,Cabot Corporation,5,Boston,8130
5973,INEOS,7,1180 Rolle,2963
5992,Union Pacific Railroad,7,Omaha,3466
5996,W. L. Gore & Associates,7,Newark,5584
5998,University of Kentucky,7,Lexington,17530
6016,The Scotts Miracle-Gro Company,6,Marysville,9526
6027,Cooley LLP,5,Palo Alto,20339
6034,Michaels Stores,7,Irving,3710
6044,"Yoh, A Day & Zimmermann Company",5,Philadelphia,3215
6061,Advantage Technical,7,Cincinnati,13945
6078,CBIZ,6,Cleveland,1954
6083,Lands'â€‹ End,5,Dodgeville,928
6088,AppleOne Employment Services,5,Glendale,4187
6104,NYU Langone Health,7,New York,3075
6134,Atlanticus,3,Atlanta,5006
6137,NetSuite,7,Austin,21471
6146,County of Santa Clara,7,San Jose,428
6154,Icahn School of Medicine at Mount Sinai,5,New York,19247
6176,7-Eleven,7,Irving,11960
6191,Schindler Group,7,Ebikon,6671
6192,Schindler Elevator Corporation (U.S.),7,Morristown,38972
6194,Brunswick Corporation,7,Mettawa,29936
6205,ePlus inc.,5,Herndon,4906
6213,Brady Corporation,6,Milwaukee,8208
6215,FUJIFILM Holdings America Corporation,7,Valhalla,1883
6226,University of San Francisco,5,San Francisco,3797
6233,Thrivent,6,Minneapolis,5333
6234,Schwan's Company,6,Marshall,4366
6250,Baylor Scott & White Health,7,Dallas,7842
6265,CSX,7,Jacksonville,4183
6281,Oklahoma State University,5,Stillwater,23503
6288,QuinStreet,4,Foster City,11726
6346,Marcus & Millichap,5,Calabasas,10441
6360,NewYork-Presbyterian Hospital,7,New York,911
